id,城市,市区,标题,户型,面积,面积数值,方位,楼层,时间,所属小区,所属区域,房源链接,总价,总价数值,均价,均价数值,房龄
3649,fuzhou,仓山,送车位业主急售！福晟钱隆府 东端头标准3房2卫次新小区,3 室 2 厅 2 卫,95.97㎡,95.97,南北,中层(共8层),2022年建造,福晟钱隆府,仓山 洪湾路 高宅路189号,https://fz.anjuke.com/prop/view/S4622123662109710?auction=221&hpType=27&entry=102&position=56&kwtype=filter&now_time=1782180488&spread=filtersearch_c&epauction=&stats_key=00090e9f-eed2-4d0d-8505-2ee3dd4c9a9c_56&from=from_esf_List_screen&index=56,165万,165.00,17193元/㎡,17193.00,2-5年
3650,fuzhou,闽侯,旗山湖 保利阅云台 次新小区 电梯房  南北通透 临地铁,3 室 2 厅 2 卫,88.31㎡,88.31,南北,高层(共15层),2023年建造,保利阅云台,闽侯 高新区 广贤路16-1号,https://fz.anjuke.com/prop/view/S3737268439147527?auction=221&hpType=27&entry=102&position=57&kwtype=filter&now_time=1782180488&spread=filtersearch_c&epauction=&stats_key=00090e9f-eed2-4d0d-8505-2ee3dd4c9a9c_57&from=from_esf_List_screen&index=57,138万,138.00,15627元/㎡,15627.00,2-5年
3651,fuzhou,仓山,旭辉江山云出 南北通透 高楼层视野无遮挡 近公园 商品房,3 室 2 厅 2 卫,88.96㎡,88.96,南北,高层(共17层),2022年建造,旭辉江山云出,仓山 洪湾路 洪湾南路89号,https://fz.anjuke.com/prop/view/S4512046208510991?auction=221&hpType=27&entry=102&position=58&kwtype=filter&now_time=1782180488&spread=filtersearch_c&epauction=&stats_key=00090e9f-eed2-4d0d-8505-2ee3dd4c9a9c_58&from=from_esf_List_screen&index=58,171万,171.00,19223元/㎡,19223.00,2-5年
3652,fuzhou,鼓楼,鼓楼次新小洋房榕发乌山郡电梯精装两房拎包入住钱塘小杨桥中,2 室 2 厅 1 卫,61.62㎡,61.62,南北,低层(共14层),2023年建造,榕发乌山郡,鼓楼 西二环 祥屿支巷60号,https://fz.anjuke.com/prop/view/S4507917952951298?auction=221&hpType=27&entry=102&position=59&kwtype=filter&now_time=1782180488&spread=filtersearch_c&epauction=&stats_key=00090e9f-eed2-4d0d-8505-2ee3dd4c9a9c_59&from=from_esf_List_screen&index=59,178万,178.00,28887元/㎡,28887.00,2-5年
3653,fuzhou,晋安,泰禾旁，晋安湖公园，国企现房，3 层高，送车位，价格可谈,3 室 2 厅 2 卫,88㎡,88.00,南北,高层(共20层),2024年建造,首开香颂,晋安 前横路 湖重北路17号,https://fz.anjuke.com/prop/view/S3260194005721094?auction=221&hpType=27&entry=102&position=0&kwtype=filter&now_time=1782180492&spread=filtersearch_c&epauction=&stats_key=0bfa5318-4bab-4e36-9bb9-3207dc3a2c36_0&from=from_esf_List_screen&index=0,180万,180.00,20455元/㎡,20455.00,2-5年
3654,fuzhou,晋安,高楼层视野无遮挡 双卫生间 次新房 小三房 南北通透 近地铁,3 室 2 厅 2 卫,89㎡,89.00,南北,高层(共20层),2024年建造,首开香颂,晋安 前横路 湖重北路17号,https://fz.anjuke.com/prop/view/S3260190479508487?auction=221&hpType=27&entry=102&position=1&kwtype=filter&now_time=1782180492&spread=filtersearch_c&epauction=&stats_key=0bfa5318-4bab-4e36-9bb9-3207dc3a2c36_1&from=from_esf_List_screen&index=1,180万,180.00,20225元/㎡,20225.00,2-5年
3655,fuzhou,晋安,中庚香山新时代 高楼层视野无遮挡 次新小区 看房方便,2 室 2 厅 1 卫,75㎡,75.00,西,高层(共24层),2021年建造,中庚香山新时代,晋安 新店 龙头路,https://fz.anjuke.com/prop/view/S3503735811447818?auction=221&hpType=27&entry=102&position=2&kwtype=filter&now_time=1782180492&spread=filtersearch_c&epauction=&stats_key=0bfa5318-4bab-4e36-9bb9-3207dc3a2c36_2&from=from_esf_List_screen&index=2,160万,160.00,21334元/㎡,21334.00,2-5年
3656,fuzhou,晋安,楼下就是地铁口~1号线f1滨海快线双地铁~次新房在售高楼层,3 室 2 厅 2 卫,89㎡,89.00,南北,高层(共26层),2022年建造,建总云璟未来,晋安 火车站 站西路63号,https://fz.anjuke.com/prop/view/S4619220971514882?auction=221&hpType=27&entry=102&position=3&kwtype=filter&now_time=1782180492&spread=filtersearch_c&epauction=&stats_key=0bfa5318-4bab-4e36-9bb9-3207dc3a2c36_3&from=from_esf_List_screen&index=3,189万,189.00,21236元/㎡,21236.00,2-5年
3657,fuzhou,晋安,楼下就是地铁口~1号线f1滨海快线双地铁~次新房在售高楼层,3 室 2 厅 2 卫,89㎡,89.00,南北,高层(共26层),2022年建造,建总云璟未来,晋安 火车站 站西路63号,https://fz.anjuke.com/prop/view/S4619219147906052?auction=221&hpType=27&entry=102&position=4&kwtype=filter&now_time=1782180492&spread=filtersearch_c&epauction=&stats_key=0bfa5318-4bab-4e36-9bb9-3207dc3a2c36_4&from=from_esf_List_screen&index=4,189万,189.00,21236元/㎡,21236.00,2-5年
3658,fuzhou,晋安,楼下就是地铁口~1号线f1滨海快线双地铁~次新房在售高楼层,3 室 2 厅 2 卫,89㎡,89.00,南北,高层(共26层),2022年建造,建总云璟未来,晋安 火车站 站西路63号,https://fz.anjuke.com/prop/view/S4619222481183748?auction=221&hpType=27&entry=102&position=5&kwtype=filter&now_time=1782180492&spread=filtersearch_c&epauction=&stats_key=0bfa5318-4bab-4e36-9bb9-3207dc3a2c36_5&from=from_esf_List_screen&index=5,189万,189.00,21236元/㎡,21236.00,2-5年
3659,fuzhou,晋安,楼下就是地铁口 1号线滨海快线双地铁  全新社区，超高得房率,3 室 2 厅 2 卫,88.25㎡,88.25,南北,高层(共26层),2024年建造,建总云璟未来,晋安 火车站 站西路63号,https://fz.anjuke.com/prop/view/S4626544130731013?auction=221&hpType=27&entry=102&position=6&kwtype=filter&now_time=1782180492&spread=filtersearch_c&epauction=&stats_key=0bfa5318-4bab-4e36-9bb9-3207dc3a2c36_6&from=from_esf_List_screen&index=6,188万,188.00,21304元/㎡,21304.00,2-5年
3660,fuzhou,晋安,急急急！双地铁口！北站品质新房，户型方正！,3 室 2 厅 2 卫,89㎡,89.00,南北,高层(共27层),2024年建造,建总云璟未来,晋安 火车站 站西路63号,https://fz.anjuke.com/prop/view/S4619239114337290?auction=221&hpType=27&entry=102&position=7&kwtype=filter&now_time=1782180492&spread=filtersearch_c&epauction=&stats_key=0bfa5318-4bab-4e36-9bb9-3207dc3a2c36_7&from=from_esf_List_screen&index=7,187万,187.00,21012元/㎡,21012.00,2-5年
3661,fuzhou,仓山,连江南路 双卫格局 刚需小三居 装修好 商品房 临地铁,3 室 2 厅 2 卫,89.66㎡,89.66,南北,高层(共20层),2021年建造,滨海首府(三区),仓山 连江南路 高湖路,https://fz.anjuke.com/prop/view/S4496433956969479?auction=221&hpType=27&entry=102&position=8&kwtype=filter&now_time=1782180492&spread=filtersearch_c&epauction=&stats_key=0bfa5318-4bab-4e36-9bb9-3207dc3a2c36_8&from=from_esf_List_screen&index=8,159万,159.00,17734元/㎡,17734.00,2-5年
3662,fuzhou,晋安,温泉公园旁，正规商品房 人车分离，南向采光好 正荣悦榕府旁,2 室 1 厅 1 卫,60.56㎡,60.56,南,高层(共27层),2022年建造,龙湖盛天天钜,晋安 火车站 六一北路,https://fz.anjuke.com/prop/view/S3890409210176522?auction=221&hpType=27&entry=102&position=9&kwtype=filter&now_time=1782180492&spread=filtersearch_c&epauction=&stats_key=0bfa5318-4bab-4e36-9bb9-3207dc3a2c36_9&from=from_esf_List_screen&index=9,148万,148.00,24439元/㎡,24439.00,2-5年
3663,fuzhou,仓山,滨江正荣府 临地铁 有电梯 小三房 次新房 高楼层采光充足,3 室 2 厅 1 卫,89.5㎡,89.50,南北,高层(共16层),2021年建造,滨江正荣府,仓山 福峡路 三环快速,https://fz.anjuke.com/prop/view/S4140872017734656?auction=221&hpType=27&entry=102&position=10&kwtype=filter&now_time=1782180492&spread=filtersearch_c&epauction=&stats_key=0bfa5318-4bab-4e36-9bb9-3207dc3a2c36_10&from=from_esf_List_screen&index=10,135万,135.00,15084元/㎡,15084.00,2-5年
3664,fuzhou,晋安,真实在售 天空之城A区 精装3房 端头户型 拎包即住,3 室 2 厅 1 卫,75.86㎡,75.86,南,低层(共28层),2021年建造,天空之城,晋安 五四北 战坂路536号,https://fz.anjuke.com/prop/view/S3290641797489668?auction=221&hpType=27&entry=102&position=11&kwtype=filter&now_time=1782180492&spread=filtersearch_c&epauction=&stats_key=0bfa5318-4bab-4e36-9bb9-3207dc3a2c36_11&from=from_esf_List_screen&index=11,125万,125.00,16478元/㎡,16478.00,2-5年
3665,fuzhou,仓山,融侨星誉 次新小区 电梯房 刚需小三居 临地铁 商业配套成熟,3 室 2 厅 2 卫,87.05㎡,87.05,南北,高层(共16层),2023年建造,融侨星誉,仓山 则徐大道 郭宅路,https://fz.anjuke.com/prop/view/S4554010335699972?auction=221&hpType=27&entry=102&position=12&kwtype=filter&now_time=1782180492&spread=filtersearch_c&epauction=&stats_key=0bfa5318-4bab-4e36-9bb9-3207dc3a2c36_12&from=from_esf_List_screen&index=12,158万,158.00,18151元/㎡,18151.00,2-5年
3666,fuzhou,晋安,新货！五里亭地铁口 次新房 电梯端头 毛坯3房，可看房,3 室 2 厅 1 卫,89.34㎡,89.34,南北,中层(共33层),2024年建造,锦鸿佳园,晋安 福马路 七贤路2号,https://fz.anjuke.com/prop/view/S4598398999454735?auction=221&hpType=27&entry=102&position=13&kwtype=filter&now_time=1782180492&spread=filtersearch_c&epauction=&stats_key=0bfa5318-4bab-4e36-9bb9-3207dc3a2c36_13&from=from_esf_List_screen&index=13,136万,136.00,15223元/㎡,15223.00,2-5年
3667,fuzhou,晋安,新出，首开香颂，东二环性价比好房，中间楼层，小高层，近地铁口,3 室 2 厅 2 卫,87㎡,87.00,南北,中层(共20层),2024年建造,首开香颂,晋安 前横路 湖重北路17号,https://fz.anjuke.com/prop/view/S4607927329811459?auction=221&hpType=27&entry=102&position=14&kwtype=filter&now_time=1782180492&spread=filtersearch_c&epauction=&stats_key=0bfa5318-4bab-4e36-9bb9-3207dc3a2c36_14&from=from_esf_List_screen&index=14,165万,165.00,18966元/㎡,18966.00,2-5年
3668,fuzhou,仓山,滨江正荣府 青华      免接送 三房两卫精装,3 室 2 厅 2 卫,86.6㎡,86.60,南北,中层(共12层),2023年建造,滨江正荣府,仓山 福峡路 三环快速,https://fz.anjuke.com/prop/view/S4196433291091975?auction=221&hpType=27&entry=102&position=15&kwtype=filter&now_time=1782180492&spread=filtersearch_c&epauction=&stats_key=0bfa5318-4bab-4e36-9bb9-3207dc3a2c36_15&from=from_esf_List_screen&index=15,150万,150.00,17322元/㎡,17322.00,2-5年
3669,fuzhou,仓山,赞赞赞 诚意卖南二环白湖亭地铁三房 南北通透 精装全新未入住,3 室 2 厅 2 卫,89㎡,89.00,南北,中层(共15层),2022年建造,左海望悦,仓山 则徐大道 双洲路1号,https://fz.anjuke.com/prop/view/S4469198343480329?auction=221&hpType=27&entry=102&position=16&kwtype=filter&now_time=1782180492&spread=filtersearch_c&epauction=&stats_key=0bfa5318-4bab-4e36-9bb9-3207dc3a2c36_16&from=from_esf_List_screen&index=16,190.5万,190.50,21405元/㎡,21405.00,2-5年
3670,fuzhou,仓山,赞赞赞 现房 南二环白湖亭地铁三房 南北通透 精装全新未入住,3 室 2 厅 2 卫,89㎡,89.00,南北,中层(共15层),2022年建造,左海望悦,仓山 则徐大道 双洲路1号,https://fz.anjuke.com/prop/view/S4469199907838987?auction=221&hpType=27&entry=102&position=17&kwtype=filter&now_time=1782180492&spread=filtersearch_c&epauction=&stats_key=0bfa5318-4bab-4e36-9bb9-3207dc3a2c36_17&from=from_esf_List_screen&index=17,191万,191.00,21461元/㎡,21461.00,2-5年
3671,fuzhou,仓山,急出！左海望悦 近地铁   广场旁 正规商品房 刚需小三居,3 室 2 厅 2 卫,89㎡,89.00,南北,低层(共15层),2024年建造,左海望悦,仓山 则徐大道 双洲路1号,https://fz.anjuke.com/prop/view/S4429540223017985?auction=221&hpType=27&entry=102&position=18&kwtype=filter&now_time=1782180492&spread=filtersearch_c&epauction=&stats_key=0bfa5318-4bab-4e36-9bb9-3207dc3a2c36_18&from=from_esf_List_screen&index=18,182万,182.00,20450元/㎡,20450.00,2-5年
3672,fuzhou,晋安,楼下就是地铁口~1号线f1滨海快线双地铁~次新房在售高楼层,3 室 2 厅 2 卫,89㎡,89.00,南北,高层(共26层),2022年建造,建总云璟未来,晋安 火车站 站西路63号,https://fz.anjuke.com/prop/view/S4619223869922309?auction=221&hpType=27&entry=102&position=19&kwtype=filter&now_time=1782180492&spread=filtersearch_c&epauction=&stats_key=0bfa5318-4bab-4e36-9bb9-3207dc3a2c36_19&from=from_esf_List_screen&index=19,189万,189.00,21236元/㎡,21236.00,2-5年
3673,fuzhou,晋安,楼下就是地铁口~1号线f1滨海快线双地铁~次新房在售高楼层,3 室 2 厅 2 卫,89㎡,89.00,南北,高层(共26层),2022年建造,建总云璟未来,晋安 火车站 站西路63号,https://fz.anjuke.com/prop/view/S4619225544401920?auction=221&hpType=27&entry=102&position=20&kwtype=filter&now_time=1782180492&spread=filtersearch_c&epauction=&stats_key=0bfa5318-4bab-4e36-9bb9-3207dc3a2c36_20&from=from_esf_List_screen&index=20,189万,189.00,21236元/㎡,21236.00,2-5年
3674,fuzhou,晋安,南北通透西边户全明户型大横厅晋安湖二号线四号线双地铁口前屿站,3 室 2 厅 2 卫,105㎡,105.00,南北,高层(共26层),2023年建造,大东海晋棠府二期,晋安 前横路 前横路,https://fz.anjuke.com/prop/view/S4584272813448195?auction=221&hpType=27&entry=102&position=21&kwtype=filter&now_time=1782180492&spread=filtersearch_c&epauction=&stats_key=0bfa5318-4bab-4e36-9bb9-3207dc3a2c36_21&from=from_esf_List_screen&index=21,199万,199.00,18953元/㎡,18953.00,2-5年
3675,fuzhou,晋安,保利和光尘樾 南向采光好 出行方便 双卫生间 装修好 近医院,3 室 2 厅 2 卫,104.55㎡,104.55,南,中层(共20层),2022年建造,保利和光尘樾,晋安 东二环 横屿路720号,https://fz.anjuke.com/prop/view/S4070404476414984?auction=221&hpType=27&entry=102&position=22&kwtype=filter&now_time=1782180492&spread=filtersearch_c&epauction=&stats_key=0bfa5318-4bab-4e36-9bb9-3207dc3a2c36_22&from=from_esf_List_screen&index=22,215万,215.00,20565元/㎡,20565.00,2-5年
3676,fuzhou,台江,阳光城悠澜郡(一区) 小三房 电梯房 次新房 南北通透排尾路,3 室 2 厅 1 卫,87.78㎡,87.78,南北,低层(共24层),2021年建造,阳光城悠澜郡(一区),台江 排尾路 瀛福路30号,https://fz.anjuke.com/prop/view/S4117173039438856?auction=221&hpType=27&entry=102&position=23&kwtype=filter&now_time=1782180492&spread=filtersearch_c&epauction=&stats_key=0bfa5318-4bab-4e36-9bb9-3207dc3a2c36_23&from=from_esf_List_screen&index=23,164.6万,164.60,18752元/㎡,18752.00,2-5年
3677,fuzhou,仓山,滨海  商品房三房出售,3 室 2 厅 2 卫,95.23㎡,95.23,南,低层(共20层),2022年建造,滨海首府,仓山 连江南路 三叉街,https://fz.anjuke.com/prop/view/S3462758913744908?auction=221&hpType=27&entry=102&position=24&kwtype=filter&now_time=1782180492&spread=filtersearch_c&epauction=&stats_key=0bfa5318-4bab-4e36-9bb9-3207dc3a2c36_24&from=from_esf_List_screen&index=24,218万,218.00,22892元/㎡,22892.00,2-5年
3678,fuzhou,晋安,东泰禾广场公园左岸端头三房精装二次软装满两年近地铁,3 室 2 厅 2 卫,109㎡,109.00,南,高层(共20层),2021年建造,公园左岸,晋安 东二环 桂溪路299号,https://fz.anjuke.com/prop/view/S4361166627136525?auction=221&hpType=27&entry=102&position=25&kwtype=filter&now_time=1782180492&spread=filtersearch_c&epauction=&stats_key=0bfa5318-4bab-4e36-9bb9-3207dc3a2c36_25&from=from_esf_List_screen&index=25,350万,350.00,32111元/㎡,32111.00,2-5年
3679,fuzhou,晋安,五里亭附近3房高层电梯2022年新房,3 室 2 厅 1 卫,90.7㎡,90.70,西南,中层(共24层),2022年建造,凤翔佳园,晋安 福马路 长春路1号,https://fz.anjuke.com/prop/view/S4509191224237067?auction=221&hpType=27&entry=102&position=26&kwtype=filter&now_time=1782180492&spread=filtersearch_c&epauction=&stats_key=0bfa5318-4bab-4e36-9bb9-3207dc3a2c36_26&from=from_esf_List_screen&index=26,180万,180.00,19846元/㎡,19846.00,2-5年
3680,fuzhou,仓山,急售 左海望悦 近地铁 装修好 大三房 纯商品房 次新小区,3 室 2 厅 2 卫,89㎡,89.00,南北,低层(共15层),2024年建造,左海望悦,仓山 则徐大道 双洲路1号,https://fz.anjuke.com/prop/view/S4428475332418565?auction=221&hpType=27&entry=102&position=27&kwtype=filter&now_time=1782180492&spread=filtersearch_c&epauction=&stats_key=0bfa5318-4bab-4e36-9bb9-3207dc3a2c36_27&from=from_esf_List_screen&index=27,188万,188.00,21124元/㎡,21124.00,2-5年
3681,fuzhou,晋安,东泰禾 城投鹤鸾郡三房   万,3 室 2 厅 1 卫,90.28㎡,90.28,南北,低层(共25层),2022年建造,城投鹤鸾郡,晋安 前横路 拥上路68号,https://fz.anjuke.com/prop/view/S4631541872483338?auction=221&hpType=27&entry=102&position=28&kwtype=filter&now_time=1782180492&spread=filtersearch_c&epauction=&stats_key=0bfa5318-4bab-4e36-9bb9-3207dc3a2c36_28&from=from_esf_List_screen&index=28,160万,160.00,17723元/㎡,17723.00,2-5年
3682,fuzhou,晋安,找我享内部价 建总云璟未来 实景现房,3 室 2 厅 2 卫,79㎡,79.00,南北,高层(共22层),2024年建造,建总云璟未来,晋安 火车站 站西路63号,https://fz.anjuke.com/prop/view/S4629537359223813?auction=221&hpType=27&entry=102&position=29&kwtype=filter&now_time=1782180492&spread=filtersearch_c&epauction=&stats_key=0bfa5318-4bab-4e36-9bb9-3207dc3a2c36_29&from=from_esf_List_screen&index=29,170万,170.00,21519元/㎡,21519.00,2-5年
3683,fuzhou,仓山,商品住宅 精装可拎包入住 南北通透 临地铁 交通便利 近医院,3 室 2 厅 2 卫,116㎡,116.00,南北,低层(共19层),2022年建造,中发印象外滩,"仓山 南江滨西大道 龙冈路1,2号",https://fz.anjuke.com/prop/view/S4501674031508490?auction=221&hpType=27&entry=102&position=30&kwtype=filter&now_time=1782180492&spread=filtersearch_c&epauction=&stats_key=0bfa5318-4bab-4e36-9bb9-3207dc3a2c36_30&from=from_esf_List_screen&index=30,195万,195.00,16811元/㎡,16811.00,2-5年
3684,fuzhou,晋安,新出 金秀郡 纯毛坯3房2卫  电梯中层 前排楼栋 采光好,3 室 2 厅 2 卫,89.62㎡,89.62,南北,中层(共21层),2021年建造,新榕金岚秀山,晋安 五四北 下柳路158号,https://fz.anjuke.com/prop/view/S4586784465153027?auction=221&hpType=27&entry=102&position=31&kwtype=filter&now_time=1782180492&spread=filtersearch_c&epauction=&stats_key=0bfa5318-4bab-4e36-9bb9-3207dc3a2c36_31&from=from_esf_List_screen&index=31,126万,126.00,14060元/㎡,14060.00,2-5年
3685,fuzhou,闽侯,出行方便 高楼层采光充足 刚需小三居 电梯房 商品房 满二,3 室 2 厅 2 卫,99㎡,99.00,南北,高层(共32层),2021年建造,万科又一城,闽侯 高新区 明德路6号,https://fz.anjuke.com/prop/view/S4617624618806277?auction=221&hpType=27&entry=102&position=32&kwtype=filter&now_time=1782180492&spread=filtersearch_c&epauction=&stats_key=0bfa5318-4bab-4e36-9bb9-3207dc3a2c36_32&from=from_esf_List_screen&index=32,155万,155.00,15657元/㎡,15657.00,2-5年
3686,fuzhou,台江,急急急 鼓楼台江 近地铁口 精装修 高楼层视野好 次新房,3 室 2 厅 2 卫,110㎡,110.00,南北,高层(共31层),2023年建造,榕发望熙雅筑B区,台江 万宝 交通西路,https://fz.anjuke.com/prop/view/S4555572344871944?auction=221&hpType=27&entry=102&position=33&kwtype=filter&now_time=1782180492&spread=filtersearch_c&epauction=&stats_key=0bfa5318-4bab-4e36-9bb9-3207dc3a2c36_33&from=from_esf_List_screen&index=33,235万,235.00,21364元/㎡,21364.00,2-5年
3687,fuzhou,晋安,买鲁能公馆找我享内部价    接送！活动多多！急急急！,3 室 2 厅 2 卫,95㎡,95.00,南,高层(共20层),2022年建造,鲁能公馆三期,晋安 新店 南平东路90号,https://fz.anjuke.com/prop/view/S3317129075597317?auction=221&hpType=27&entry=102&position=34&kwtype=filter&now_time=1782180492&spread=filtersearch_c&epauction=&stats_key=0bfa5318-4bab-4e36-9bb9-3207dc3a2c36_34&from=from_esf_List_screen&index=34,212.1万,212.10,22327元/㎡,22327.00,2-5年
3688,fuzhou,仓山,商品房 低容积 近医院 满二 购物方便 南北通透 居家自住,4 室 2 厅 3 卫,114.28㎡,114.28,南北,共4层,2022年建造,福晟中央美墅(别墅),仓山 金山大道 麦浦路18号,https://fz.anjuke.com/prop/view/S3485657436331014?auction=221&hpType=27&entry=102&position=35&kwtype=filter&now_time=1782180492&spread=filtersearch_c&epauction=&stats_key=0bfa5318-4bab-4e36-9bb9-3207dc3a2c36_35&from=from_esf_List_screen&index=35,388万,388.00,33952元/㎡,33952.00,2-5年
3689,fuzhou,晋安,斗门茶园 万科金域时代三房268万,3 室 2 厅 2 卫,97.34㎡,97.34,南,高层(共33层),2021年建造,万科金域时代,晋安 火车站 茶园横路8号,https://fz.anjuke.com/prop/view/S3950994385415177?auction=221&hpType=27&entry=102&position=36&kwtype=filter&now_time=1782180492&spread=filtersearch_c&epauction=&stats_key=0bfa5318-4bab-4e36-9bb9-3207dc3a2c36_36&from=from_esf_List_screen&index=36,268万,268.00,27533元/㎡,27533.00,2-5年
3690,fuzhou,晋安,融信澜天 带电梯 双卫格局 南向采光好 正规商品房,3 室 2 厅 2 卫,96㎡,96.00,南,高层(共22层),2021年建造,融信澜天,晋安 五四北 站板路729号,https://fz.anjuke.com/prop/view/S4164791089373185?auction=221&hpType=27&entry=102&position=37&kwtype=filter&now_time=1782180492&spread=filtersearch_c&epauction=&stats_key=0bfa5318-4bab-4e36-9bb9-3207dc3a2c36_37&from=from_esf_List_screen&index=37,230万,230.00,23959元/㎡,23959.00,2-5年
3691,fuzhou,仓山,中骏世界城一期，业主诚意出售，电梯高层，近商场地铁，价格可谈,3 室 2 厅 2 卫,96.42㎡,96.42,南,中层(共16层),2023年建造,中骏世界城璟悦(一期),仓山 三叉街 利民路10号,https://fz.anjuke.com/prop/view/S3654246124477450?auction=221&hpType=27&entry=102&position=38&kwtype=filter&now_time=1782180492&spread=filtersearch_c&epauction=&stats_key=0bfa5318-4bab-4e36-9bb9-3207dc3a2c36_38&from=from_esf_List_screen&index=38,207万,207.00,21469元/㎡,21469.00,2-5年
3692,fuzhou,仓山,福晟钱隆府，近仓山万达商圈，端户三房，中间楼层，房东急售可谈,3 室 2 厅 2 卫,91.47㎡,91.47,南,中层(共31层),2022年建造,福晟钱隆府,仓山 洪湾路 高宅路189号,https://fz.anjuke.com/prop/view/S4476694081561607?auction=221&hpType=27&entry=102&position=39&kwtype=filter&now_time=1782180492&spread=filtersearch_c&epauction=&stats_key=0bfa5318-4bab-4e36-9bb9-3207dc3a2c36_39&from=from_esf_List_screen&index=39,177万,177.00,19351元/㎡,19351.00,2-5年
3693,fuzhou,晋安,次新小区 有电梯 出行方便 商业配套齐全 精装好房 双卫生间,4 室 2 厅 2 卫,135.21㎡,135.21,南北,低层(共25层),2022年建造,绿城美的桂语映月,晋安 王庄 连江西路,https://fz.anjuke.com/prop/view/S4149693551943690?auction=221&hpType=27&entry=102&position=40&kwtype=filter&now_time=1782180492&spread=filtersearch_c&epauction=&stats_key=0bfa5318-4bab-4e36-9bb9-3207dc3a2c36_40&from=from_esf_List_screen&index=40,420万,420.00,31063元/㎡,31063.00,2-5年
3694,fuzhou,晋安,三盛国际公园香缇时光 商品住宅 南北通透 有电梯 停车方便,4 室 2 厅 2 卫,130.56㎡,130.56,南北,高层(共16层),2023年建造,三盛国际公园香缇时光,晋安 五四北 下井路58号,https://fz.anjuke.com/prop/view/S4234530829540365?auction=221&hpType=27&entry=102&position=41&kwtype=filter&now_time=1782180492&spread=filtersearch_c&epauction=&stats_key=0bfa5318-4bab-4e36-9bb9-3207dc3a2c36_41&from=from_esf_List_screen&index=41,240万,240.00,18383元/㎡,18383.00,2-5年
3695,fuzhou,台江,3室1厅 万科澜悦花园C区 精装修,3 室 1 厅 2 卫,90㎡,90.00,东,中层(共28层),2022年建造,万科澜悦花园C区,台江 排尾路 瀛福路43号,https://fz.anjuke.com/prop/view/S4340407623098378?auction=221&hpType=27&entry=102&position=42&kwtype=filter&now_time=1782180492&spread=filtersearch_c&epauction=&stats_key=0bfa5318-4bab-4e36-9bb9-3207dc3a2c36_42&from=from_esf_List_screen&index=42,197万,197.00,21889元/㎡,21889.00,2-5年
3696,fuzhou,仓山,送物业费两年丨水晶榕著!清盘  ！预约免费接送,3 室 2 厅 2 卫,87.48㎡,87.48,南北,高层(共15层),2023年建造,水晶榕著,仓山 南二环路 南二环路701号,https://fz.anjuke.com/prop/view/S3358390369672203?auction=221&hpType=27&entry=102&position=43&kwtype=filter&now_time=1782180492&spread=filtersearch_c&epauction=&stats_key=0bfa5318-4bab-4e36-9bb9-3207dc3a2c36_43&from=from_esf_List_screen&index=43,135万,135.00,15433元/㎡,15433.00,2-5年
3697,fuzhou,晋安,恒宇尊悦 有电梯 朝南 近地铁 医疗配套成熟 精装修,2 室 2 厅 1 卫,60㎡,60.00,南,中层(共27层),2021年建造,恒宇尊悦,晋安 火车站 六一北路19号,https://fz.anjuke.com/prop/view/S4013703607430158?auction=221&hpType=27&entry=102&position=44&kwtype=filter&now_time=1782180492&spread=filtersearch_c&epauction=&stats_key=0bfa5318-4bab-4e36-9bb9-3207dc3a2c36_44&from=from_esf_List_screen&index=44,138万,138.00,23000元/㎡,23000.00,2-5年
3698,fuzhou,仓山,榕城江上图 精装修三房两卫 拎包入住 山姆地铁旁 青华小,3 室 2 厅 2 卫,102.22㎡,102.22,南北,中层(共23层),2023年建造,榕城江上图,仓山 南江滨西大道 万仁路5号,https://fz.anjuke.com/prop/view/S4606514070199304?auction=221&hpType=27&entry=102&position=45&kwtype=filter&now_time=1782180492&spread=filtersearch_c&epauction=&stats_key=0bfa5318-4bab-4e36-9bb9-3207dc3a2c36_45&from=from_esf_List_screen&index=45,190万,190.00,18588元/㎡,18588.00,2-5年
3699,fuzhou,仓山,洪湾路 小三居 双卫格局 近医院 带电梯 高楼层视野无遮挡,3 室 2 厅 2 卫,108.71㎡,108.71,南,高层(共11层),2021年建造,旭辉江山云出,仓山 洪湾路 洪湾南路89号,https://fz.anjuke.com/prop/view/S4625345545464846?auction=221&hpType=27&entry=102&position=46&kwtype=filter&now_time=1782180492&spread=filtersearch_c&epauction=&stats_key=0bfa5318-4bab-4e36-9bb9-3207dc3a2c36_46&from=from_esf_List_screen&index=46,245万,245.00,22538元/㎡,22538.00,2-5年
3700,fuzhou,仓山,融创福州府 纯商品房  精装三房  电梯高层满二年 拎包入住,3 室 2 厅 2 卫,89㎡,89.00,南北,高层(共15层),2022年建造,融创福州府C区,"仓山 白湖亭 南台支路,近牛道一路",https://fz.anjuke.com/prop/view/S4578250375388160?auction=221&hpType=27&entry=102&position=47&kwtype=filter&now_time=1782180492&spread=filtersearch_c&epauction=&stats_key=0bfa5318-4bab-4e36-9bb9-3207dc3a2c36_47&from=from_esf_List_screen&index=47,170万,170.00,19102元/㎡,19102.00,2-5年
